domains 50
1.00 0.00 0.02
1.00 0.00 0.05
1.00 0.00 0.10
1.00 0.00 0.15
1.00 0.00 0.18
1.00 0.00 0.22
1.00 0.00 0.25
1.00 0.00 0.30
1.00 0.00 0.35
1.00 0.00 0.40
1.00 0.00 0.45
1.00 0.00 0.50
1.00 0.00 0.55
1.00 0.00 0.60
1.00 0.00 0.65
1.00 0.00 0.70
1.00 0.00 0.75
1.00 0.00 0.80
1.00 0.05 0.05
1.00 0.05 0.10
1.00 0.05 0.15
1.00 0.05 0.18
1.00 0.05 0.22
1.00 0.05 0.25
1.00 0.05 0.30
1.00 0.05 0.35
1.00 0.05 0.40
1.00 0.05 0.45
1.00 0.05 0.50
1.00 0.05 0.55
1.00 0.05 0.60
1.00 0.05 0.65
1.00 0.05 0.70
1.00 0.05 0.75
1.00 0.05 0.80
1.00 0.10 0.10
1.00 0.10 0.15
1.00 0.10 0.18
1.00 0.10 0.22
1.00 0.10 0.25
1.00 0.10 0.30
1.00 0.10 0.35
1.00 0.10 0.40
1.00 0.10 0.45
1.00 0.10 0.50
1.00 0.10 0.55
1.00 0.10 0.60
1.00 0.10 0.65
1.00 0.10 0.70
1.00 0.10 0.75
1.00 0.10 0.80
1.00 0.15 0.15
1.00 0.15 0.18
1.00 0.15 0.22
1.00 0.15 0.25
1.00 0.15 0.30
1.00 0.15 0.35
1.00 0.15 0.40
1.00 0.15 0.45
1.00 0.15 0.50
1.00 0.15 0.55
1.00 0.15 0.60
1.00 0.15 0.65
1.00 0.15 0.70
1.00 0.15 0.75
1.00 0.15 0.80
1.00 0.18 0.18
1.00 0.18 0.22
1.00 0.18 0.25
1.00 0.18 0.30
1.00 0.18 0.35
1.00 0.18 0.40
1.00 0.18 0.45
1.00 0.18 0.50
1.00 0.18 0.55
1.00 0.18 0.60
1.00 0.18 0.65
1.00 0.18 0.70
1.00 0.18 0.75
1.00 0.18 0.80
1.00 0.22 0.22
1.00 0.22 0.25
1.00 0.22 0.30
1.00 0.22 0.35
1.00 0.22 0.40
1.00 0.22 0.45
1.00 0.22 0.50
1.00 0.22 0.55
1.00 0.22 0.60
1.00 0.22 0.65
1.00 0.22 0.70
1.00 0.22 0.75
1.00 0.22 0.80
1.00 0.25 0.25
1.00 0.25 0.30
1.00 0.25 0.35
1.00 0.25 0.40
1.00 0.25 0.45
1.00 0.25 0.50
1.00 0.25 0.55
1.00 0.25 0.60
1.00 0.25 0.65
1.00 0.25 0.70
1.00 0.25 0.75
1.00 0.25 0.80
1.00 0.30 0.30
1.00 0.30 0.35
1.00 0.30 0.40
1.00 0.30 0.45
1.00 0.30 0.50
1.00 0.30 0.55
1.00 0.30 0.60
1.00 0.30 0.65
1.00 0.30 0.70
1.00 0.30 0.75
1.00 0.30 0.80
1.00 0.35 0.35
1.00 0.35 0.40
1.00 0.35 0.45
1.00 0.35 0.50
1.00 0.35 0.55
1.00 0.35 0.65
1.00 0.35 0.70
1.00 0.35 0.75
1.00 0.35 0.80
1.00 0.40 0.40
1.00 0.40 0.45
1.00 0.40 0.50
1.00 0.40 0.55
1.00 0.40 0.60
1.00 0.40 0.65
1.00 0.40 0.70
1.00 0.40 0.75
1.00 0.40 0.80
1.00 0.45 0.45
1.00 0.45 0.50
1.00 0.45 0.55
1.00 0.45 0.60
1.00 0.45 0.65
1.00 0.45 0.70
1.00 0.45 0.75
1.00 0.45 0.80
1.00 0.50 0.50
1.00 0.50 0.55
1.00 0.50 0.60
1.00 0.50 0.65
1.00 0.50 0.70
1.00 0.50 0.75
1.00 0.50 0.80
1.00 0.55 0.55
1.00 0.55 0.60
1.00 0.55 0.65
1.00 0.55 0.70
1.00 0.55 0.75
1.00 0.55 0.80
1.00 0.60 0.60
1.00 0.60 0.65
1.00 0.60 0.70
1.00 0.60 0.75
1.00 0.60 0.80
1.00 0.65 0.65
1.00 0.65 0.70
1.00 0.65 0.75
1.00 0.65 0.80
1.00 0.70 0.70
1.00 0.70 0.75
1.00 0.70 0.80
1.00 0.75 0.75
1.00 0.75 0.80
1.00 0.80 0.80
